nationality,year,number_of_permits
Israeli,1984,0
Italian,1984,0
Japanese,1984,85
Jordanian,1984,0
Korean,1984,14
Lebanese,1984,6
Malaysian,1984,0
Mexican,1984,0
New Zealander,1984,6
Nigerian,1984,0
Norwegian,1984,0
Pakistani,1984,5
Portuguese,1984,0
Russian,1984,0
Singaporean,1984,0
Spanish,1984,0
Sri Lankan,1984,0
Sudanese,1984,0
Swedish,1984,0
Swiss,1984,10
Taiwanese,1984,9
Thai ,1984,0
Other Nationalities,1984,37
American,1985,54
Australian,1985,15
Austrian,1985,7
Belgian,1985,0
Brazilian,1985,0
British,1985,36
Canadian,1985,3
Chinese,1985,39
Columbian,1985,0
Danish,1985,0
Dutch,1985,15
Egyptian,1985,0
Finnish,1985,0
French,1985,14
German,1985,18
Hungarian,1985,0
Indian,1985,12
Indonesian,1985,0
Iranian,1985,0
Irish,1985,0
Israeli,1985,0
Italian,1985,0
Japanese,1985,95
Jordanian,1985,0
Korean,1985,12
Lebanese,1985,3
Malaysian,1985,3
Mexican,1985,0
New Zealander,1985,1
Nigerian,1985,0
Norwegian,1985,0
Pakistani,1985,3
Portuguese,1985,0
Russian,1985,0
Singaporean,1985,3
Spanish,1985,0
Sri Lankan,1985,0
Sudanese,1985,0
Swedish,1985,5
Swiss,1985,9
Taiwanese,1985,4
Thai ,1985,0
Other Nationalities,1985,27
American,1986,122
Australian,1986,24
Austrian,1986,13
Belgian,1986,0
Brazilian,1986,0
British,1986,126
Canadian,1986,27
Chinese,1986,120
Columbian,1986,0
Danish,1986,0
Dutch,1986,21
Egyptian,1986,0
Finnish,1986,0
French,1986,18
German,1986,48
Hungarian,1986,0
Indian,1986,45
Indonesian,1986,0
Iranian,1986,0
Irish,1986,0
Israeli,1986,0
Italian,1986,0
Japanese,1986,484
Jordanian,1986,0
Korean,1986,29
Lebanese,1986,0
Malaysian,1986,0
Mexican,1986,0
New Zealander,1986,5
Nigerian,1986,0
Norwegian,1986,0
Pakistani,1986,0
Portuguese,1986,0
Russian,1986,0
Singaporean,1986,0
Spanish,1986,0
Sri Lankan,1986,0
Sudanese,1986,0
Swedish,1986,0
Swiss,1986,21
Taiwanese,1986,0
Thai ,1986,0
Other Nationalities,1986,121
American,1987,110
Australian,1987,35
Austrian,1987,6
Belgian,1987,0
Brazilian,1987,0
British,1987,139
Canadian,1987,15
Chinese,1987,96
Columbian,1987,0
Danish,1987,0
Dutch,1987,17
Egyptian,1987,0
Finnish,1987,0
French,1987,17
German,1987,68
Hungarian,1987,0
Indian,1987,43
Indonesian,1987,0
Iranian,1987,0
Irish,1987,0
Israeli,1987,0
Italian,1987,10
Japanese,1987,476
Jordanian,1987,0
Korean,1987,52
Lebanese,1987,0
Malaysian,1987,12
Mexican,1987,0
New Zealander,1987,0
Nigerian,1987,0
Norwegian,1987,0
Pakistani,1987,11
Portuguese,1987,0
Russian,1987,0
Singaporean,1987,18
Spanish,1987,0
Sri Lankan,1987,0
Sudanese,1987,0
Swedish,1987,8
Swiss,1987,20
Taiwanese,1987,7
Thai ,1987,10
Other Nationalities,1987,70
American,1988,169
Australian,1988,37
Austrian,1988,0
Belgian,1988,0
Brazilian,1988,0
British,1988,211
Canadian,1988,29
Chinese,1988,215
Columbian,1988,0
Danish,1988,0
Dutch,1988,19
Egyptian,1988,0
Finnish,1988,0
French,1988,20
German,1988,71
Hungarian,1988,0
Indian,1988,54
Indonesian,1988,9
Iranian,1988,0
Irish,1988,0
Israeli,1988,0
Italian,1988,0
Japanese,1988,467
Jordanian,1988,0
Korean,1988,73
Lebanese,1988,0
Malaysian,1988,16
Mexican,1988,0
New Zealander,1988,0
Nigerian,1988,0
Norwegian,1988,0
Pakistani,1988,10
Portuguese,1988,0
Russian,1988,0
Singaporean,1988,10
Spanish,1988,11
Sri Lankan,1988,0
Sudanese,1988,0
Swedish,1988,12
Swiss,1988,29
Taiwanese,1988,38
Thai ,1988,18
Other Nationalities,1988,116
American,1989,152
Australian,1989,42
Austrian,1989,14
Belgian,1989,0
Brazilian,1989,0
British,1989,182
Canadian,1989,17
Chinese,1989,195
Columbian,1989,0
Danish,1989,11
Dutch,1989,22
Egyptian,1989,0
Finnish,1989,0
French,1989,14
German,1989,56
Hungarian,1989,0
Indian,1989,45
Indonesian,1989,0
Iranian,1989,0
Irish,1989,0
Israeli,1989,0
Italian,1989,0
Japanese,1989,426
Jordanian,1989,0
Korean,1989,50
Lebanese,1989,0
Malaysian,1989,17
Mexican,1989,0
New Zealander,1989,15
Nigerian,1989,0
Norwegian,1989,0
Pakistani,1989,0
Portuguese,1989,0
Russian,1989,0
Singaporean,1989,17
Spanish,1989,0
Sri Lankan,1989,0
Sudanese,1989,0
Swedish,1989,13
Swiss,1989,29
Taiwanese,1989,69
Thai ,1989,14
Other Nationalities,1989,116
American,1990,140
Australian,1990,39
Austrian,1990,17
Belgian,1990,0
Brazilian,1990,0
British,1990,186
Canadian,1990,18
Chinese,1990,194
Columbian,1990,0
Danish,1990,13
Dutch,1990,26
Egyptian,1990,0
Finnish,1990,0
French,1990,25
German,1990,65
Hungarian,1990,0
Indian,1990,52
Indonesian,1990,26
Iranian,1990,0
Irish,1990,0
Israeli,1990,0
Italian,1990,0
Japanese,1990,379
Jordanian,1990,0
Korean,1990,63
Lebanese,1990,0
Malaysian,1990,18
Mexican,1990,0
New Zealander,1990,0
Nigerian,1990,0
Norwegian,1990,0
Pakistani,1990,0
Portuguese,1990,0
Russian,1990,0
Singaporean,1990,34
Spanish,1990,0
Sri Lankan,1990,0
Sudanese,1990,0
Swedish,1990,0
Swiss,1990,32
Taiwanese,1990,104
Thai ,1990,39
Other Nationalities,1990,144
American,1991,177
Australian,1991,58
Austrian,1991,15
Belgian,1991,0
Brazilian,1991,0
British,1991,205
Canadian,1991,31
Chinese,1991,234
Columbian,1991,0
Danish,1991,11
Dutch,1991,28
Egyptian,1991,0
Finnish,1991,0
French,1991,27
German,1991,91
Hungarian,1991,0
Indian,1991,45
Indonesian,1991,22
Iranian,1991,0
Irish,1991,0
Israeli,1991,0
Italian,1991,0
Japanese,1991,610
Jordanian,1991,0
Korean,1991,103
Lebanese,1991,0
Malaysian,1991,24
Mexican,1991,0
New Zealander,1991,0
Nigerian,1991,0
Norwegian,1991,0
Pakistani,1991,0
Portuguese,1991,0
Russian,1991,0
Singaporean,1991,23
Spanish,1991,0
Sri Lankan,1991,0
Sudanese,1991,0
Swedish,1991,0
Swiss,1991,44
Taiwanese,1991,97
Thai ,1991,13
Other Nationalities,1991,158
American,1992,180
Australian,1992,79
Austrian,1992,17
Belgian,1992,0
Brazilian,1992,0
British,1992,182
Canadian,1992,29
Chinese,1992,286
Columbian,1992,0
Danish,1992,0
Dutch,1992,27
Egyptian,1992,0
Finnish,1992,0
French,1992,31
German,1992,75
Hungarian,1992,0
Indian,1992,43
Indonesian,1992,89
Iranian,1992,0
Irish,1992,0
Israeli,1992,0
Italian,1992,25
Japanese,1992,581
Jordanian,1992,0
Korean,1992,128
Lebanese,1992,0
Malaysian,1992,62
Mexican,1992,0
New Zealander,1992,0
Nigerian,1992,0
Norwegian,1992,0
Pakistani,1992,0
Portuguese,1992,0
Russian,1992,0
Singaporean,1992,23
Spanish,1992,0
Sri Lankan,1992,0
Sudanese,1992,0
Swedish,1992,21
Swiss,1992,41
Taiwanese,1992,67
Thai ,1992,14
Other Nationalities,1992,144
American,1993,246
Australian,1993,78
Austrian,1993,17
Belgian,1993,0
Brazilian,1993,0
British,1993,256
Canadian,1993,42
Chinese,1993,357
Columbian,1993,0
Danish,1993,0
Dutch,1993,50
Egyptian,1993,0
Finnish,1993,0
French,1993,37
German,1993,92
Hungarian,1993,0
Indian,1993,44
Indonesian,1993,25
Iranian,1993,0
Irish,1993,0
Israeli,1993,0
Italian,1993,19
Japanese,1993,603
Jordanian,1993,0
Korean,1993,142
Lebanese,1993,0
Malaysian,1993,42
Mexican,1993,0
New Zealander,1993,0
Nigerian,1993,0
Norwegian,1993,18
Pakistani,1993,0
Portuguese,1993,0
Russian,1993,0
Singaporean,1993,29
Spanish,1993,0
Sri Lankan,1993,0
Sudanese,1993,0
Swedish,1993,18
Swiss,1993,50
Taiwanese,1993,60
Thai ,1993,0
Other Nationalities,1993,226
American,1994,310
Australian,1994,110
Austrian,1994,0
Belgian,1994,40
Brazilian,1994,0
British,1994,344
Canadian,1994,47
Chinese,1994,432
Columbian,1994,0
Danish,1994,23
Dutch,1994,60
Egyptian,1994,0
Finnish,1994,0
French,1994,58
German,1994,126
Hungarian,1994,0
Indian,1994,59
Indonesian,1994,0
Iranian,1994,0
Irish,1994,0
Israeli,1994,0
Italian,1994,30
Japanese,1994,762
Jordanian,1994,0
Korean,1994,192
Lebanese,1994,0
Malaysian,1994,48
Mexican,1994,0
New Zealander,1994,30
Nigerian,1994,0
Norwegian,1994,0
Pakistani,1994,0
Portuguese,1994,0
Russian,1994,0
Singaporean,1994,37
Spanish,1994,0
Sri Lankan,1994,0
Sudanese,1994,0
Swedish,1994,40
Swiss,1994,48
Taiwanese,1994,87
Thai ,1994,0
Other Nationalities,1994,211
American,1995,395
Australian,1995,170
Austrian,1995,0
Belgian,1995,49
Brazilian,1995,0
British,1995,412
Canadian,1995,50
Chinese,1995,236
Columbian,1995,0
Danish,1995,31
Dutch,1995,70
Egyptian,1995,0
Finnish,1995,0
French,1995,77
German,1995,145
Hungarian,1995,0
Indian,1995,130
Indonesian,1995,0
Iranian,1995,0
Irish,1995,0
Israeli,1995,0
Italian,1995,33
Japanese,1995,877
Jordanian,1995,0
Korean,1995,310
Lebanese,1995,0
Malaysian,1995,63
Mexican,1995,0
New Zealander,1995,37
Nigerian,1995,0
Norwegian,1995,0
Pakistani,1995,0
Portuguese,1995,0
Russian,1995,0
Singaporean,1995,83
Spanish,1995,0
Sri Lankan,1995,0
Sudanese,1995,0
Swedish,1995,58
Swiss,1995,56
Taiwanese,1995,128
Thai ,1995,0
Other Nationalities,1995,291
American,1996,422
Australian,1996,155
Austrian,1996,10
Belgian,1996,14
Brazilian,1996,2
British,1996,275
Canadian,1996,62
Chinese,1996,263
Columbian,1996,0
Danish,1996,17
Dutch,1996,82
Egyptian,1996,3
Finnish,1996,5
French,1996,159
German,1996,96
Hungarian,1996,4
Indian,1996,182
Indonesian,1996,46
Iranian,1996,7
Irish,1996,34
Israeli,1996,5
Italian,1996,16
Japanese,1996,"1,433"
Jordanian,1996,1
Korean,1996,247
Lebanese,1996,1
Malaysian,1996,58
Mexican,1996,22
New Zealander,1996,36
Nigerian,1996,8
Norwegian,1996,18
Pakistani,1996,4
Portuguese,1996,16
Russian,1996,135
Singaporean,1996,63
Spanish,1996,5
Sri Lankan,1996,17
Sudanese,1996,1
Swedish,1996,67
Swiss,1996,85
Taiwanese,1996,162
Thai ,1996,13
Other Nationalities,1996,82
American,1997,631
Australian,1997,303
Austrian,1997,16
Belgian,1997,43
Brazilian,1997,6
British,1997,632
Canadian,1997,113
Chinese,1997,364
Columbian,1997,2
Danish,1997,32
Dutch,1997,77
Egyptian,1997,7
Finnish,1997,24
French,1997,130
German,1997,284
Hungarian,1997,4
Indian,1997,177
Indonesian,1997,58
Iranian,1997,4
Irish,1997,25
Israeli,1997,8
Italian,1997,65
Japanese,1997,"1,374"
Jordanian,1997,8
Korean,1997,596
Lebanese,1997,9
Malaysian,1997,205
Mexican,1997,6
New Zealander,1997,54
Nigerian,1997,6
Norwegian,1997,16
Pakistani,1997,19
Portuguese,1997,5
Russian,1997,70
Singaporean,1997,118
Spanish,1997,23
Sri Lankan,1997,8
Sudanese,1997,7
Swedish,1997,101
Swiss,1997,77
Taiwanese,1997,172
Thai ,1997,92
Other Nationalities,1997,84
American,1998,518
Australian,1998,267
Austrian,1998,8
Belgian,1998,25
Brazilian,1998,5
British,1998,608
Canadian,1998,96
Chinese,1998,357
Columbian,1998,56
Danish,1998,34
Dutch,1998,70
Egyptian,1998,4
Finnish,1998,25
French,1998,152
German,1998,200
Hungarian,1998,2
Indian,1998,147
Indonesian,1998,48
Iranian,1998,5
Irish,1998,24
Israeli,1998,9
Italian,1998,157
Japanese,1998,"1,187"
Jordanian,1998,3
Korean,1998,510
Lebanese,1998,6
Malaysian,1998,132
Mexican,1998,11
New Zealander,1998,50
Nigerian,1998,7
Norwegian,1998,16
Pakistani,1998,8
Portuguese,1998,3
Russian,1998,1
Singaporean,1998,103
Spanish,1998,20
Sri Lankan,1998,6
Sudanese,1998,5
Swedish,1998,48
Swiss,1998,52
Taiwanese,1998,202
Thai ,1998,70
Other Nationalities,1998,78
American,1999,493
Australian,1999,335
Austrian,1999,18
Belgian,1999,38
Brazilian,1999,7
British,1999,582
Canadian,1999,133
Chinese,1999,349
Columbian,1999,51
Danish,1999,52
Dutch,1999,76
Egyptian,1999,1
Finnish,1999,17
French,1999,104
German,1999,205
Hungarian,1999,5
Indian,1999,225
Indonesian,1999,43
Iranian,1999,6
Irish,1999,21
Israeli,1999,17
Italian,1999,177
Japanese,1999,"1,418"
Jordanian,1999,3
Korean,1999,599
Lebanese,1999,10
Malaysian,1999,128
Mexican,1999,12
New Zealander,1999,77
Nigerian,1999,13
Norwegian,1999,16
Pakistani,1999,14
Portuguese,1999,4
Russian,1999,4
Singaporean,1999,144
Spanish,1999,30
Sri Lankan,1999,12
Sudanese,1999,4
Swedish,1999,37
Swiss,1999,35
Taiwanese,1999,318
Thai ,1999,35
Other Nationalities,1999,88
American,2000,518
Australian,2000,237
Austrian,2000,23
Belgian,2000,17
Brazilian,2000,7
British,2000,523
Canadian,2000,100
Chinese,2000,362
Columbian,2000,18
Danish,2000,33
Dutch,2000,73
Egyptian,2000,3
Finnish,2000,18
French,2000,115
German,2000,162
Hungarian,2000,2
Indian,2000,219
Indonesian,2000,49
Iranian,2000,4
Irish,2000,22
Israeli,2000,10
Italian,2000,122
Japanese,2000,"1,352"
Jordanian,2000,4
Korean,2000,703
Lebanese,2000,12
Malaysian,2000,146
Mexican,2000,14
New Zealander,2000,56
Nigerian,2000,9
Norwegian,2000,20
Pakistani,2000,16
Portuguese,2000,3
Russian,2000,1
Singaporean,2000,119
Spanish,2000,34
Sri Lankan,2000,4
Sudanese,2000,6
Swedish,2000,26
Swiss,2000,32
Taiwanese,2000,274
Thai ,2000,30
Other Nationalities,2000,78
American,2001,552
Australian,2001,200
Austrian,2001,18
Belgian,2001,8
Brazilian,2001,3
British,2001,738
Canadian,2001,48
Chinese,2001,367
Columbian,2001,20
Danish,2001,25
Dutch,2001,66
Egyptian,2001,4
Finnish,2001,32
French,2001,90
German,2001,124
Hungarian,2001,6
Indian,2001,229
Indonesian,2001,50
Iranian,2001,4
Irish,2001,14
Israeli,2001,4
Italian,2001,81
Japanese,2001,"2,368"
Jordanian,2001,5
Korean,2001,901
Lebanese,2001,9
Malaysian,2001,149
Mexican,2001,4
New Zealander,2001,40
Nigerian,2001,5
Norwegian,2001,15
Pakistani,2001,4
Portuguese,2001,3
Russian,2001,1
Singaporean,2001,73
Spanish,2001,9
Sri Lankan,2001,4
Sudanese,2001,7
Swedish,2001,17
Swiss,2001,38
Taiwanese,2001,341
Thai ,2001,78
Other Nationalities,2001,104
American,2002,515
Australian,2002,226
Austrian,2002,26
Belgian,2002,28
Brazilian,2002,11
British,2002,584
Canadian,2002,106
Chinese,2002,"1,098"
Columbian,2002,6
Danish,2002,46
Dutch,2002,53
Egyptian,2002,12
Finnish,2002,22
French,2002,109
German,2002,301
Hungarian,2002,2
Indian,2002,589
Indonesian,2002,73
Iranian,2002,2
Irish,2002,17
Israeli,2002,15
Italian,2002,61
Japanese,2002,"3,576"
Jordanian,2002,16
Korean,2002,"1,881"
Lebanese,2002,13
Malaysian,2002,219
Mexican,2002,10
New Zealander,2002,56
Nigerian,2002,11
Norwegian,2002,11
Pakistani,2002,14
Portuguese,2002,9
Russian,2002,8
Singaporean,2002,144
Spanish,2002,20
Sri Lankan,2002,16
Sudanese,2002,4
Swedish,2002,14
Swiss,2002,31
Taiwanese,2002,506
Thai ,2002,81
Other Nationalities,2002,197
American,2003,498
Australian,2003,216
Austrian,2003,14
Belgian,2003,32
Brazilian,2003,16
British,2003,320
Canadian,2003,94
Chinese,2003,928
Columbian,2003,10
Danish,2003,25
Dutch,2003,67
Egyptian,2003,11
Finnish,2003,31
French,2003,128
German,2003,139
Hungarian,2003,2
Indian,2003,370
Indonesian,2003,54
Iranian,2003,10
Irish,2003,21
Israeli,2003,8
Italian,2003,47
Japanese,2003,"2,969"
Jordanian,2003,17
Korean,2003,"1,855"
Lebanese,2003,8
Malaysian,2003,211
Mexican,2003,11
New Zealander,2003,58
Nigerian,2003,7
Norwegian,2003,7
Pakistani,2003,20
Portuguese,2003,6
Russian,2003,2
Singaporean,2003,118
Spanish,2003,25
Sri Lankan,2003,26
Sudanese,2003,15
Swedish,2003,20
Swiss,2003,21
Taiwanese,2003,412
Thai ,2003,105
Other Nationalities,2003,214
American,2004,618
Australian,2004,225
Austrian,2004,10
Belgian,2004,24
Brazilian,2004,13
British,2004,451
Canadian,2004,75
Chinese,2004,984
Columbian,2004,2
Danish,2004,23
Dutch,2004,70
Egyptian,2004,7
Finnish,2004,27
French,2004,98
German,2004,128
Hungarian,2004,2
Indian,2004,438
Indonesian,2004,65
Iranian,2004,6
Irish,2004,19
Israeli,2004,14
Italian,2004,28
Japanese,2004,"2,975"
Jordanian,2004,7
Korean,2004,"1,847"
Lebanese,2004,9
Malaysian,2004,216
Mexican,2004,9
New Zealander,2004,46
Nigerian,2004,8
Norwegian,2004,6
Pakistani,2004,18
Portuguese,2004,3
Russian,2004,4
Singaporean,2004,121
Spanish,2004,18
Sri Lankan,2004,20
Sudanese,2004,8
Swedish,2004,23
Swiss,2004,40
Taiwanese,2004,389
Thai ,2004,89
Other Nationalities,2004,225
American,2005,562
Australian,2005,249
Austrian,2005,18
Belgian,2005,25
Brazilian,2005,4
British,2005,403
Canadian,2005,70
Chinese,2005,"1,370"
Columbian,2005,2
Danish,2005,20
Dutch,2005,58
Egyptian,2005,5
Finnish,2005,28
French,2005,94
German,2005,163
Hungarian,2005,9
Indian,2005,384
Indonesian,2005,74
Iranian,2005,7
Irish,2005,24
Israeli,2005,10
Italian,2005,38
Japanese,2005,"3,367"
Jordanian,2005,10
Korean,2005,"2,499"
Lebanese,2005,11
Malaysian,2005,215
Mexican,2005,10
New Zealander,2005,47
Nigerian,2005,9
Norwegian,2005,17
Pakistani,2005,14
Portuguese,2005,3
Russian,2005,5
Singaporean,2005,127
Spanish,2005,27
Sri Lankan,2005,34
Sudanese,2005,4
Swedish,2005,30
Swiss,2005,44
Taiwanese,2005,434
Thai ,2005,76
Other Nationalities,2005,223
American,2006,665
Australian,2006,211
Austrian,2006,15
Belgian,2006,30
Brazilian,2006,6
British,2006,391
Canadian,2006,100
Chinese,2006,"1,592"
Columbian,2006,2
Danish,2006,20
Dutch,2006,71
Egyptian,2006,14
Finnish,2006,16
French,2006,107
German,2006,147
Hungarian,2006,6
Indian,2006,438
Indonesian,2006,145
Iranian,2006,12
Irish,2006,22
Israeli,2006,15
Italian,2006,29
Japanese,2006,"3,469"
Jordanian,2006,4
Korean,2006,"3,296"
Lebanese,2006,17
Malaysian,2006,332
Mexican,2006,8
New Zealander,2006,45
Nigerian,2006,8
Norwegian,2006,16
Pakistani,2006,11
Portuguese,2006,3
Russian,2006,5
Singaporean,2006,163
Spanish,2006,17
Sri Lankan,2006,34
Sudanese,2006,6
Swedish,2006,21
Swiss,2006,35
Taiwanese,2006,486
Thai ,2006,92
Other Nationalities,2006,213
American,2007,605
Australian,2007,230
Austrian,2007,14
Belgian,2007,32
Brazilian,2007,10
British,2007,384
Canadian,2007,95
Chinese,2007,"1,754"
Columbian,2007,3
Danish,2007,29
Dutch,2007,78
Egyptian,2007,19
Finnish,2007,25
French,2007,109
German,2007,118
Hungarian,2007,3
Indian,2007,598
Indonesian,2007,272
Iranian,2007,16
Irish,2007,21
Israeli,2007,40
Italian,2007,30
Japanese,2007,"3,414"
Jordanian,2007,10
Korean,2007,"3,713"
Lebanese,2007,18
Malaysian,2007,596
Mexican,2007,14
New Zealander,2007,56
Nigerian,2007,9
Norwegian,2007,16
Pakistani,2007,15
Portuguese,2007,1
Russian,2007,9
Singaporean,2007,184
Spanish,2007,28
Sri Lankan,2007,26
Sudanese,2007,10
Swedish,2007,27
Swiss,2007,33
Taiwanese,2007,456
Thai ,2007,121
Other Nationalities,2007,351
American,2008,657
Australian,2008,229
Austrian,2008,17
Belgian,2008,28
Brazilian,2008,11
British,2008,375
Canadian,2008,108
Chinese,2008,"1,929"
Columbian,2008,3
Danish,2008,18
Dutch,2008,60
Egyptian,2008,3
Finnish,2008,15
French,2008,116
German,2008,127
Hungarian,2008,4
Indian,2008,640
Indonesian,2008,179
Iranian,2008,15
Irish,2008,16
Israeli,2008,24
Italian,2008,36
Japanese,2008,"2,953"
Jordanian,2008,5
Korean,2008,"3,308"
Lebanese,2008,7
Malaysian,2008,497
Mexican,2008,11
New Zealander,2008,57
Nigerian,2008,11
Norwegian,2008,13
Pakistani,2008,23
Portuguese,2008,4
Russian,2008,4
Singaporean,2008,143
Spanish,2008,23
Sri Lankan,2008,29
Sudanese,2008,7
Swedish,2008,23
Swiss,2008,24
Taiwanese,2008,439
Thai ,2008,111
Other Nationalities,2008,297
American,2009,644
Australian,2009,244
Austrian,2009,22
Belgian,2009,31
Brazilian,2009,10
British,2009,302
Canadian,2009,122
Chinese,2009,"1,776"
Columbian,2009,7
Danish,2009,22
Dutch,2009,72
Egyptian,2009,10
Finnish,2009,27
French,2009,128
German,2009,129
Hungarian,2009,8
Indian,2009,740
Indonesian,2009,227
Iranian,2009,16
Irish,2009,14
Israeli,2009,31
Italian,2009,39
Japanese,2009,"2,751"
Jordanian,2009,3
Korean,2009,"3,007"
Lebanese,2009,10
Malaysian,2009,508
Mexican,2009,12
New Zealander,2009,64
Nigerian,2009,8
Norwegian,2009,20
Pakistani,2009,52
Portuguese,2009,1
Russian,2009,9
Singaporean,2009,145
Spanish,2009,30
Sri Lankan,2009,34
Sudanese,2009,6
Swedish,2009,22
Swiss,2009,32
Taiwanese,2009,506
Thai ,2009,92
Other Nationalities,2009,285
